2026-09-04 11:11:40 | INFO     | excel_extractor | Hoja 'PUESTOS Y COSTOS': encabezados detectados en fila 1 (puesto=J, nivel=K)
2026-09-04 11:11:40 | INFO     | excel_extractor | Excel 'tmp6_x44zik.xlsx': 12 registro(s) extraído(s).
2026-09-04 11:11:40 | INFO     | organigrama_extractor | Página 1: 12 caja(s) vectorial(es) detectada(s), 9 puesto(s) extraído(s).
2026-09-04 11:11:40 | INFO     | organigrama_extractor | Organigrama 'tmpr_uy_bfx.pdf': 9 registro(s) extraído(s) en total.
2026-09-04 11:11:40 | INFO     | comparator | Comparación finalizada: 12 resultado(s) generado(s).
2026-09-04 11:11:40 | INFO     | excel_report | Reporte generado en: C:\Users\Public\Documents\Wondershare\CreatorTemp\reporte_inconsistencias.xlsx
2026-09-04 11:43:33 | INFO     | excel_extractor | Hoja 'PUESTOS Y COSTOS': 8 rango(s) de celdas combinadas detectado(s).
2026-09-04 11:43:33 | INFO     | excel_extractor | Hoja 'PUESTOS Y COSTOS': encabezados detectados en fila 1 (puesto=J, nivel=K)
2026-09-04 11:43:33 | INFO     | excel_extractor | Excel 'tmpvz6pljkn.xlsx': 16 registro(s) extraído(s).
2026-09-04 11:43:33 | INFO     | organigrama_extractor | Página 1: 20 caja(s) vectorial(es) detectada(s), 14 puesto(s) extraído(s).
2026-09-04 11:43:33 | INFO     | organigrama_extractor | Organigrama 'tmpnz1tdm15.pdf': 14 registro(s) extraído(s) en total.
2026-09-04 11:43:33 | INFO     | comparator | Comparación finalizada: 18 resultado(s) generado(s).
2026-09-04 11:43:33 | INFO     | excel_report | Reporte generado en: C:\Users\Public\Documents\Wondershare\CreatorTemp\reporte_inconsistencias.xlsx
2026-09-04 11:45:03 | INFO     | excel_extractor | Hoja 'PUESTOS Y COSTOS': 8 rango(s) de celdas combinadas detectado(s).
2026-09-04 11:45:03 | INFO     | excel_extractor | Hoja 'PUESTOS Y COSTOS': encabezados detectados en fila 1 (puesto=J, nivel=K)
2026-09-04 11:45:03 | INFO     | excel_extractor | Excel 'tmpf0fb2g5y.xlsx': 117 registro(s) extraído(s).
